,Year,Month,Jurisdiction,Number,Time
206,1991,September,Saskatchewan,48.0,1991-09-01
3220,1991,September,Canada,486.0,1991-09-01
185,1991,September,Prince Edward Island,0.0,1991-09-01
163,1991,September,Northwest Territories,1.0,1991-09-01
146,1991,September,New Brunswick,20.0,1991-09-01
138,1991,September,Manitoba,21.0,1991-09-01
173,1991,September,Ontario,138.0,1991-09-01
128,1991,September,British Columbia,172.0,1991-09-01
117,1991,September,Alberta,54.0,1991-09-01
195,1991,September,Quebec,32.0,1991-09-01
119,1991,October,British Columbia,248.0,1991-10-01
107,1991,October,Alberta,66.0,1991-10-01
184,1991,October,Prince Edward Island,0.0,1991-10-01
130,1991,October,Manitoba,6.0,1991-10-01
139,1991,October,New Brunswick,7.0,1991-10-01
197,1991,October,Saskatchewan,31.0,1991-10-01
3219,1991,October,Canada,376.0,1991-10-01
152,1991,October,Nova Scotia,1.0,1991-10-01
164,1991,October,Ontario,11.0,1991-10-01
187,1991,October,Quebec,6.0,1991-10-01
120,1991,November,British Columbia,5.0,1991-11-01
108,1991,November,Alberta,6.0,1991-11-01
140,1991,November,New Brunswick,1.0,1991-11-01
165,1991,November,Ontario,12.0,1991-11-01
198,1991,November,Saskatchewan,14.0,1991-11-01
3218,1991,November,Canada,43.0,1991-11-01
188,1991,November,Quebec,5.0,1991-11-01
183,1991,November,Prince Edward Island,0.0,1991-11-01
109,1991,December,Alberta,7.0,1991-12-01
199,1991,December,Saskatchewan,2.0,1991-12-01
176,1991,December,Prince Edward Island,0.0,1991-12-01
3211,1991,December,Canada,10.0,1991-12-01
166,1991,December,Ontario,1.0,1991-12-01
224,1992,January,British Columbia,6.0,1992-01-01
282,1992,January,Prince Edward Island,0.0,1992-01-01
212,1992,January,Alberta,14.0,1992-01-01
3226,1992,January,Canada,20.0,1992-01-01
281,1992,February,Prince Edward Island,0.0,1992-02-01
228,1992,February,British Columbia,2.0,1992-02-01
237,1992,February,Manitoba,1.0,1992-02-01
3225,1992,February,Canada,14.0,1992-02-01
216,1992,February,Alberta,11.0,1992-02-01
217,1992,March,Alberta,61.0,1992-03-01
238,1992,March,Manitoba,1.0,1992-03-01
3229,1992,March,Canada,137.0,1992-03-01
271,1992,March,Ontario,2.0,1992-03-01
301,1992,March,Saskatchewan,3.0,1992-03-01
285,1992,March,Prince Edward Island,0.0,1992-03-01
229,1992,March,British Columbia,70.0,1992-03-01
302,1992,April,Saskatchewan,50.0,1992-04-01
293,1992,April,Quebec,44.0,1992-04-01
3222,1992,April,Canada,526.0,1992-04-01
278,1992,April,Prince Edward Island,7.0,1992-04-01
259,1992,April,Nova Scotia,43.0,1992-04-01
272,1992,April,Ontario,58.0,1992-04-01
246,1992,April,New Brunswick,50.0,1992-04-01
239,1992,April,Manitoba,7.0,1992-04-01
218,1992,April,Alberta,110.0,1992-04-01
252,1992,April,Newfoundland and Labrador,2.0,1992-04-01
230,1992,April,British Columbia,155.0,1992-04-01
240,1992,May,Manitoba,76.0,1992-05-01
219,1992,May,Alberta,91.0,1992-05-01
247,1992,May,New Brunswick,345.0,1992-05-01
308,1992,May,Yukon,9.0,1992-05-01
303,1992,May,Saskatchewan,103.0,1992-05-01
231,1992,May,British Columbia,243.0,1992-05-01
286,1992,May,Prince Edward Island,14.0,1992-05-01
253,1992,May,Newfoundland and Labrador,47.0,1992-05-01
273,1992,May,Ontario,347.0,1992-05-01
294,1992,May,Quebec,405.0,1992-05-01
3230,1992,May,Canada,1827.0,1992-05-01
260,1992,May,Nova Scotia,138.0,1992-05-01
265,1992,May,Northwest Territories,9.0,1992-05-01
3228,1992,June,Canada,1807.0,1992-06-01
241,1992,June,Manitoba,45.0,1992-06-01
261,1992,June,Nova Scotia,46.0,1992-06-01
309,1992,June,Yukon,26.0,1992-06-01
304,1992,June,Saskatchewan,151.0,1992-06-01
220,1992,June,Alberta,147.0,1992-06-01
295,1992,June,Quebec,180.0,1992-06-01
232,1992,June,British Columbia,705.0,1992-06-01
266,1992,June,Northwest Territories,31.0,1992-06-01
248,1992,June,New Brunswick,78.0,1992-06-01
284,1992,June,Prince Edward Island,3.0,1992-06-01
274,1992,June,Ontario,380.0,1992-06-01
254,1992,June,Newfoundland and Labrador,15.0,1992-06-01
267,1992,July,Northwest Territories,130.0,1992-07-01
275,1992,July,Ontario,60.0,1992-07-01
242,1992,July,Manitoba,57.0,1992-07-01
3227,1992,July,Canada,1298.0,1992-07-01
262,1992,July,Nova Scotia,19.0,1992-07-01
310,1992,July,Yukon,72.0,1992-07-01
305,1992,July,Saskatchewan,150.0,1992-07-01
249,1992,July,New Brunswick,24.0,1992-07-01
233,1992,July,British Columbia,493.0,1992-07-01
255,1992,July,Newfoundland and Labrador,13.0,1992-07-01
283,1992,July,Prince Edward Island,0.0,1992-07-01
296,1992,July,Quebec,54.0,1992-07-01
221,1992,July,Alberta,226.0,1992-07-01
234,1992,August,British Columbia,1803.0,1992-08-01
